

837  2014-11-08 16:06:12,483 [main] DEBUG GetHTML  - Completed:getHTML sLocalURL=http://ichart.finance.yahoo.com/table.csv?s=INTC&d=09&e=31&f=2014&g=d&a=09&b=31&c=2014&ignore=.csv iReturn=1(1 is successful)
837  2014-11-08 16:06:12,483 [main] DEBUG GetHTML  - Completed:getHTML HTTP get was successful
837  2014-11-08 16:06:12,483 [main] DEBUG GetHTML  - Completed:getHTML response length=90
837  2014-11-08 16:06:12,483 [main] DEBUG GetHTML  - Begin out->file sOutputFileName=/home/paul/workspace/dev/GetHTML/output/test.txt
837  2014-11-08 16:06:12,483 [main] DEBUG GetHTML  - File Name=sPathAndFileName=/home/paul/workspace/dev/GetHTML/output/test11082014_16:06:11.txt
838  2014-11-08 16:06:12,484 [main] DEBUG GetHTML  - End  out->file sOutputFileName=/home/paul/workspace/dev/GetHTML/output/test.txt
838  2014-11-08 16:06:12,484 [main] DEBUG GetHTML  - Begin out->DB 
856  2014-11-08 16:06:12,502 [main] DEBUG GetHTML  - End  out->DB 
856  2014-11-08 16:06:12,502 [main] INFO  GetHTML  - Time: Ending   (main)
0    2014-11-08 17:43:31,956 [main] INFO  GetHTML  - Time: Starting (main)
1    2014-11-08 17:43:31,957 [main] DEBUG GetHTML  - CommandLineParms: URLs 3 left most chars sLeftMostCommandLineParameter=-U=
2    2014-11-08 17:43:31,958 [main] DEBUG GetHTML  - CommandLineParms: URLs sCommandLineParameter=-U=http://download.finance.yahoo.com/d/quotes.txt?s=INTC&f=n&e=.csv
2    2014-11-08 17:43:31,958 [main] DEBUG GetHTML  - CommandLineParms: URLs 3 left most chars sLeftMostCommandLineParameter=-U=
2    2014-11-08 17:43:31,958 [main] DEBUG GetHTML  - CommandLineParms: URLs sCommandLineParameter=-U=http://ichart.finance.yahoo.com/table.csv?s=YHOO&d=9&e=31&f=2014&g=d&a=9&b=31&c=2014&ignore=.csv
2    2014-11-08 17:43:31,958 [main] DEBUG GetHTML  - CommandLineParms: Output File
3    2014-11-08 17:43:31,959 [main] DEBUG GetHTML  - Append GUID or TimeStamp to the end of the filename
3    2014-11-08 17:43:31,959 [main] DEBUG GetHTML  - CommandLineParms: URLs 3 left most chars sLeftMostCommandLineParameter=-U=
3    2014-11-08 17:43:31,959 [main] DEBUG GetHTML  - CommandLineParms: URLs sCommandLineParameter=-U=http://madmoney.thestreet.com/screener/index.cfm
3    2014-11-08 17:43:31,959 [main] DEBUG GetHTML  - CommandLineParms: Output DB
3    2014-11-08 17:43:31,959 [main] INFO  GetHTML  - Time: Staring getHTML (main) Starting -U=http://download.finance.yahoo.com/d/quotes.txt?s=INTC&f=n&e=.csv
20030 2014-11-08 17:43:51,986 [main] ERROR GetHTML  - Error:  Problem reading HTML, with url http://download.finance.yahoo.com/d/quotes.txt?s=INTC&f=n&e=.csv. IOException
20030 2014-11-08 17:43:51,986 [main] DEBUG GetHTML  - Completed:getHTML sLocalURL=http://download.finance.yahoo.com/d/quotes.txt?s=INTC&f=n&e=.csv iReturn=0(1 is successful)
20030 2014-11-08 17:43:51,986 [main] INFO  GetHTML  - Time: Ending  getHTML (main) Ending   -U=http://download.finance.yahoo.com/d/quotes.txt?s=INTC&f=n&e=.csv
20030 2014-11-08 17:43:51,986 [main] INFO  GetHTML  - Time: Staring getHTML (main) Starting -U=http://ichart.finance.yahoo.com/table.csv?s=YHOO&d=9&e=31&f=2014&g=d&a=9&b=31&c=2014&ignore=.csv
40051 2014-11-08 17:44:12,007 [main] ERROR GetHTML  - Error:  Problem reading HTML, with url http://ichart.finance.yahoo.com/table.csv?s=YHOO&d=9&e=31&f=2014&g=d&a=9&b=31&c=2014&ignore=.csv. IOException
40051 2014-11-08 17:44:12,007 [main] DEBUG GetHTML  - Completed:getHTML sLocalURL=http://ichart.finance.yahoo.com/table.csv?s=YHOO&d=9&e=31&f=2014&g=d&a=9&b=31&c=2014&ignore=.csv iReturn=0(1 is successful)
40051 2014-11-08 17:44:12,007 [main] INFO  GetHTML  - Time: Ending  getHTML (main) Ending   -U=http://ichart.finance.yahoo.com/table.csv?s=YHOO&d=9&e=31&f=2014&g=d&a=9&b=31&c=2014&ignore=.csv
40052 2014-11-08 17:44:12,008 [main] INFO  GetHTML  - Time: Staring getHTML (main) Starting -O=/home/paul/workspace/dev/GetHTML/output/test.txt
40052 2014-11-08 17:44:12,008 [main] INFO  GetHTML  - Time: Ending  getHTML (main) Ending   -O=/home/paul/workspace/dev/GetHTML/output/test.txt
40052 2014-11-08 17:44:12,008 [main] INFO  GetHTML  - Time: Staring getHTML (main) Starting -D=MMddyyyy_HH:mm:ss
40052 2014-11-08 17:44:12,008 [main] INFO  GetHTML  - Time: Ending  getHTML (main) Ending   -D=MMddyyyy_HH:mm:ss
40052 2014-11-08 17:44:12,008 [main] INFO  GetHTML  - Time: Staring getHTML (main) Starting -U=http://madmoney.thestreet.com/screener/index.cfm
60072 2014-11-08 17:44:32,028 [main] ERROR GetHTML  - Error:  Problem reading HTML, with url http://madmoney.thestreet.com/screener/index.cfm. IOException
60072 2014-11-08 17:44:32,028 [main] DEBUG GetHTML  - Completed:getHTML sLocalURL=http://madmoney.thestreet.com/screener/index.cfm iReturn=0(1 is successful)
60072 2014-11-08 17:44:32,028 [main] INFO  GetHTML  - Time: Ending  getHTML (main) Ending   -U=http://madmoney.thestreet.com/screener/index.cfm
60072 2014-11-08 17:44:32,028 [main] INFO  GetHTML  - Time: Staring getHTML (main) Starting -B=Yes
60072 2014-11-08 17:44:32,028 [main] INFO  GetHTML  - Time: Ending  getHTML (main) Ending   -B=Yes
60074 2014-11-08 17:44:32,030 [main] INFO  GetHTML  - sLocalUrlYahooFinanceIntelHistoricalGeneric=http://ichart.finance.yahoo.com/table.csv?s=INTC&d=09&e=31&f=2014&g=d&a=09&b=31&c=2014&ignore=.csv
80089 2014-11-08 17:44:52,045 [main] ERROR GetHTML  - Error:  Problem reading HTML, with url http://ichart.finance.yahoo.com/table.csv?s=INTC&d=09&e=31&f=2014&g=d&a=09&b=31&c=2014&ignore=.csv. IOException
80090 2014-11-08 17:44:52,046 [main] DEBUG GetHTML  - Completed:getHTML sLocalURL=http://ichart.finance.yahoo.com/table.csv?s=INTC&d=09&e=31&f=2014&g=d&a=09&b=31&c=2014&ignore=.csv iReturn=0(1 is successful)
80090 2014-11-08 17:44:52,046 [main] INFO  GetHTML  - Time: Ending   (main)
0    2014-11-08 17:46:18,897 [main] INFO  GetHTML  - Time: Starting (main)
1    2014-11-08 17:46:18,898 [main] DEBUG GetHTML  - CommandLineParms: URLs 3 left most chars sLeftMostCommandLineParameter=-U=
1    2014-11-08 17:46:18,898 [main] DEBUG GetHTML  - CommandLineParms: URLs sCommandLineParameter=-U=http://download.finance.yahoo.com/d/quotes.txt?s=INTC&f=n&e=.csv
1    2014-11-08 17:46:18,898 [main] DEBUG GetHTML  - CommandLineParms: URLs 3 left most chars sLeftMostCommandLineParameter=-U=
1    2014-11-08 17:46:18,898 [main] DEBUG GetHTML  - CommandLineParms: URLs sCommandLineParameter=-U=http://ichart.finance.yahoo.com/table.csv?s=YHOO&d=9&e=31&f=2014&g=d&a=9&b=31&c=2014&ignore=.csv
2    2014-11-08 17:46:18,899 [main] DEBUG GetHTML  - CommandLineParms: Output File
3    2014-11-08 17:46:18,900 [main] DEBUG GetHTML  - Append GUID or TimeStamp to the end of the filename
3    2014-11-08 17:46:18,900 [main] DEBUG GetHTML  - CommandLineParms: URLs 3 left most chars sLeftMostCommandLineParameter=-U=
3    2014-11-08 17:46:18,900 [main] DEBUG GetHTML  - CommandLineParms: URLs sCommandLineParameter=-U=http://madmoney.thestreet.com/screener/index.cfm
